"","st_abrev","Donations","Donors"
"1","AK",1240,4
"2","AL",5442,35
"3","AR",6996,35
"4","AZ",33335,106
"5","CA",268165,588
"6","CO",84975,140
"7","CT",87795,83
"8","DC",43400,39
"9","DE",800,2
"10","FL",299333,499
"11","GA",25335,46
"12","HI",9179,54
"13","IA",25642,31
"14","ID",5875,31
"15","IL",74270,136
"16","IN",12679,103
"17","KS",3135,19
"18","KY",22415,38
"19","LA",8475,25
"20","MA",3402115,8077
"21","MD",34005,72
"22","ME",7650,17
"23","MI",29912,77
"24","MN",11990,38
"25","MO",16050,34
"26","MS",7010,40
"27","MT",1145,6
"28","NC",13380,42
"29","ND",715,4
"30","NE",2750,22
"31","NH",62150,144
"32","NJ",64700,146
"33","NM",4240,18
"34","NULL",1550,5
"35","NV",20915,50
"36","NY",192244,358
"37","OH",51055,101
"38","OK",9003,17
"39","OR",6710,54
"40","PA",66037,184
"41","RI",8200,10
"42","SC",13425,45
"43","SD",1325,15
"44","TN",23895,56
"45","TX",198346,362
"46","UT",19535,27
"47","VA",84711,137
"48","VT",3155,6
"49","WA",53996,121
"50","WI",7385,50
"51","WV",3190,12
"52","WY",11874,12
"53","ZZ",200,2
"54",NA,2154,8
